date,raanking,title,writer,press,kategorie
202301,17,슬램덩크 신장재편판 1,"이노우에 타케히코 글,그림",대원,만화/라이트노벨
202302,17,슬램덩크 신장재편판 16,"이노우에 타케히코 글,그림",대원,만화/라이트노벨
202303,17,나는 대한민국 검사였다,이인규 저,조갑제닷컴,사회 정치
202304,17,우리는 왜 임영웅을 사랑하는가,조위 저,한스미디어,예술
202305,17,이지성의 1만 킬로미터,이지성 저,차이정원,에서이
202306,17,돈의 속성 300쇄 리커버,김승호 저,스노우폭스북스,경제 경영
202307,17,에그박사 10,에그박사 원저/박송이 글/홍종현 그림/이승현 감수,미래엔아이세움,어린이
202308,17,위기의 역사,오건영 저,페이지2,경제 경영
202309,17,슈퍼노멀,주언규 저,웅진지식하우스,자기계발
202310,17,문과 남자의 과학 공부,유시민 저,돌베개,인문
202311,17,역행자 확장판,자청 저,웅진지식하우스,자기계발
202312,17,손실 없는 투자원칙,남석관 저,모루,경제 경영
202203,17,부자 아빠 가난한 아빠 20주년 특별 기념판,로버트 기요사키 저/안진환 역,민음인,경제 경영
202204,17,"어서 오세요, 휴남동 서점입니다",황보름 저,클레이하우스,국내도서-소설/시/희곡
202205,17,긴긴밤,"루리 글,그림",문학동네,국내도서-어린이
202206,17,이어령의 마지막 수업,"김지수,이어령 저",열림원,국내도서-인문
202207,17,물고기는 존재하지 않는다,룰루 밀러 저/정지인 역,곰출판,국내도서-자연과학
202208,17,작별인사,김영하 저,복복서가,국내도서-소설/시/희곡
202209,17,잘될 수밖에 없는 너에게,최서영 저,북로망스,국내도서-에세이
202210,17,사람을 얻는 지혜,발타자르 그라시안 저/임정재 역,타커스,국내도서-자기계발
202211,17,"우리, 편하게 말해요",이금희 저,웅진지식하우스,국내도서-자기계발
202212,17,파친코 2,이민진 저/신승미 역,인플루엔셜,국내도서-소설/시/희곡
202402,18,처음부터 시작하는 주식투자 단타전략,홍인기 저,길벗,경제 경영
202401,18,생각이 너무 많은 어른들을 위한 심리학 (10만부 돌파 기념 스페셜 에디션),김혜남 저,메이븐,인문
202301,18,ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩,ETS 저,YBM(와이비엠),국어 외국어 사전
202302,18,슬램덩크 신장재편판 17,"이노우에 타케히코 글,그림",대원,만화/라이트노벨
202303,18,불편한 편의점 2,김호연 저,나무옆의자,소설/시/희곡
202304,18,불편한 편의점 2,김호연 저,나무옆의자,소설/시/희곡
202305,18,도둑맞은 집중력,요한 하리 저/김하현 역,어크로스,인문
202306,18,[예스리커버] 유현준의 인문 건축 기행,유현준 저,을유문화사,인문
202307,18,비욘드 더 스토리 BEYOND THE STORY,"강명석,방탄소년단 저",빅히트뮤직(BIGHIT MUSIC),예술
202308,18,[예스리커버] 아기 판다 푸바오,에버랜드 동물원 글그림,시공주니어,에서이
202309,18,이토록 공부가 재미있어지는 순간,박성혁 저,다산북스,청소년
