date,ranking,title,writer,press,kategorie
202403,13,주술회전 25,"아쿠타미 게게 지음, 이정운 옮김",서울미디어코믹스(서울문화사),만화
202301,13,슬램덩크 신장재편판 5,이노우에 타케히코 지음,대원씨아이(만화),만화
202302,13,슬램덩크 신장재편판 7,이노우에 타케히코 지음,대원씨아이(만화),만화
202303,13,고양이 해결사 깜냥 5,"홍민정 지음, 김재희 그림",창비,어린이
202304,13,던전앤파이터 진각성 아트북 세트 - 전2권,(주)네오플 지음,교보문고(단행본),예술/대중문화
202305,13,내가 가진 것을 세상이 원하게 하라,최인아 지음,해냄,자기계발
202306,13,하늘과 바람과 별과 인간,김상욱 지음,바다출판사,과학
202307,13,나는 앞으로 몇 번의 보름달을 볼 수 있을까,"류이치 사카모토 (Ryuichi Sakamoto) 지음, 황국영 옮김",위즈덤하우스,에세이
202308,13,이토록 공부가 재미있어지는 순간 (50만 부 기념 우리들 에디션),박성혁 지음,다산북스,청소년
202309,13,1%를 읽는 힘,메르 지음,토네이도,경제경영
202310,13,단 한 사람,최진영 지음,한겨레출판,소설/시/희곡
202311,13,고양이 해결사 깜냥 6,"홍민정 지음, 김재희 그림",창비,어린이
202312,13,내가 생각한 인생이 아니야,류시화 지음,수오서재,에세이
202203,13,웰씽킹 WEALTHINKING (10만 부 기념 한정판 골드 에디션),켈리 최 지음,다산북스,자기계발
202204,13,꽃샘바람에 흔들린다면 너는 꽃,류시화 지음,수오서재,소설/시/희곡
202205,13,책들의 부엌,김지혜 지음,팩토리나인,소설/시/희곡
202206,13,설민석의 한국사 대모험 21,"설민석.스토리박스 지음, 정현희 그림, 강석화 감수",단꿈아이,어린이
202207,13,해커스 토익 기출 VOCA (보카),David Cho 지음,해커스어학연구소(Hackers),외국어
202208,13,명탐정 코난 101,아오야마 고쇼 지음,서울미디어코믹스(서울문화사),만화
202209,13,역행자,자청 지음,웅진지식하우스,자기계발
202210,13,단순한 열정 (무선),"아니 에르노 지음, 최정수 옮김",문학동네,소설/시/희곡
202401,14,철학은 날씨를 바꾼다,서동욱,김영사,인문학
202402,14,극락가 2,사노 유토 지음,대원씨아이(만화),만화
202403,14,철학은 날씨를 바꾼다,서동욱 지음,김영사,인문학
202301,14,슬램덩크 신장재편판 17,이노우에 타케히코 지음,대원씨아이(만화),만화
202302,14,슬램덩크 신장재편판 18,이노우에 타케히코 지음,대원씨아이(만화),만화
202303,14,브라질에 비가 내리면 스타벅스 주식을 사라,"피터 나바로 지음, 이창식 옮김, 윤지호 감수",에프엔미디어,경제경영
202304,14,영어 필사 100일의 기적,퍼포먼스 코치 리아 지음,넥서스,외국어
202305,14,영어 필사 100일의 기적,퍼포먼스 코치 리아 지음,넥서스,외국어
202306,14,지박소년 하나코 군 19 (특장판),"아이다이로 지음, 장혜영 옮김",서울미디어코믹스(서울문화사),만화
202307,14,너무나 많은 여름이,김연수 지음,레제,소설/시/희곡
202308,14,스튜디오 지브리 입체건축전 도록 (복각판),스튜디오 지브리 지음,학산문화사(만화),예술/대중문화
202309,14,룬의 아이들 - 블러디드 6,전민희 지음,엘릭시르,소설/시/희곡
202310,14,멜랑콜리아 I-II,"욘 포세 지음, 손화수 옮김",민음사,소설/시/희곡
202311,14,체인소 맨 14,후지모토 타츠키 지음,학산문화사(만화),만화
202312,14,황금종이 2,조정래 지음,해냄,소설/시/희곡
202203,14,룩 백 + 체인소 맨 11권 합본 세트,후지모토 타츠키 지음,학산문화사(만화),만화
202204,14,도쿄 에일리언즈 2 (초판 한정 양면 캐릭터 일러스트 카드 + 선착순 한정 아크릴 일러스트 카드 포함 특장판),"NAOE 지음, 박소현 옮김",서울미디어코믹스(서울문화사),만화
202205,14,기분을 관리하면 인생이 관리된다,김다슬 지음,클라우디아,에세이
202206,14,전지적 독자 시점 5,"슬리피-C 지음, 싱숑 원작, UMI 각색",에이템포미디어,만화
202207,14,작별인사,김영하 지음,복복서가,소설/시/희곡
202208,14,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝),ETS 엮음,(주)YBM(와이비엠),외국어
202209,14,문장과 순간,박웅현 지음,인티N,에세이
202210,14,불편한 편의점 (벚꽃 에디션),김호연 지음,나무옆의자,소설/시/희곡
202401,15,나는 행복한 푸바오 할부지입니다,강철원(에버랜드 동물원) ,시공사,에세이
202402,15,남에게 보여주려고 인생을 낭비하지 마라,"아르투어 쇼펜하우어 지음, 박제헌 옮김",페이지2(page2),인문학
202403,15,나는 행복한 푸바오 할부지입니다,"강철원(에버랜드 동물원) 지음, 류정훈(에버랜드 커뮤니케이션 그룹) 사진",시공사,에세이
202301,15,슬램덩크 신장재편판 18,이노우에 타케히코 지음,대원씨아이(만화),만화
202302,15,슬램덩크 신장재편판 16,이노우에 타케히코 지음,대원씨아이(만화),만화
202303,15,슬램덩크 리소스-THE FIRST SLAM DUNK re:SOURCE,이노우에 타케히코 지음,대원씨아이(만화),만화
202304,15,봇치·더·록! 5,하마지 아키 지음,대원씨아이(만화),만화
202305,15,태양 왕 수바: 수박의 전설,이지은 지음,웅진주니어,유아
202306,15,마음의 지혜,김경일 지음,포레스트북스,인문학
202307,15,꿀벌의 예언 2,"베르나르 베르베르 지음, 전미연 옮김",열린책들,소설/시/희곡
202308,15,눈에 갇힌 외딴 산장에서,"히가시노 게이고 지음, 김난주 옮김",재인,소설/시/희곡
202309,15,최소한의 한국사,최태성 지음,프런트페이지,역사
202310,15,2024 틴틴팅클 애착일력 (스프링),난 지음,위즈덤하우스,에세이
202311,15,시대예보: 핵개인의 시대,송길영 지음,교보문고(단행본),경제경영
202312,15,나 없이는 존재하지 않는 세상,"카를로 로벨리 지음, 김정훈 옮김, 이중원 감수",쌤앤파커스,과학
202203,15,설민석의 한국사 대모험 20,"설민석.스토리박스 지음, 정현희 그림, 강석화 감수",아이휴먼,어린이
202204,15,이어령의 마지막 수업,"김지수 지음, 이어령",열림원,인문학
